grain_num	clip_index	start	end	ms	wav
201	483	76744	77063	25	grain_201_clip483.wav
202	485	77063	77394	25	grain_202_clip485.wav
203	486	77394	77694	23	grain_203_clip486.wav
204	487	77694	78087	30	grain_204_clip487.wav
205	488	78087	78489	31	grain_205_clip488.wav
206	489	78489	79101	47	grain_206_clip489.wav
207	490	79101	79501	31	grain_207_clip490.wav
208	491	79501	79912	32	grain_208_clip491.wav
209	492	79912	80329	32	grain_209_clip492.wav
210	494	80329	80648	25	grain_210_clip494.wav
211	495	80648	80955	24	grain_211_clip495.wav
212	496	80955	81271	24	grain_212_clip496.wav
213	497	81271	81767	38	grain_213_clip497.wav
214	498	81767	82080	24	grain_214_clip498.wav
215	499	82080	82497	32	grain_215_clip499.wav
216	500	82497	82797	23	grain_216_clip500.wav
217	501	82797	83207	32	grain_217_clip501.wav
218	502	83207	83608	31	grain_218_clip502.wav
219	506	83608	83942	26	grain_219_clip506.wav
220	587	83942	84242	23	grain_220_clip587.wav
221	588	84242	84767	40	grain_221_clip588.wav
222	589	84767	85399	49	grain_222_clip589.wav
223	590	85399	85799	31	grain_223_clip590.wav
224	592	85799	86438	49	grain_224_clip592.wav
225	593	86438	86877	34	grain_225_clip593.wav
226	594	86877	87228	27	grain_226_clip594.wav
227	595	87228	87669	34	grain_227_clip595.wav
228	598	87669	88003	26	grain_228_clip598.wav
229	599	88003	88437	33	grain_229_clip599.wav
230	600	88437	88829	30	grain_230_clip600.wav
231	601	88829	89155	25	grain_231_clip601.wav
232	602	89155	89487	26	grain_232_clip602.wav
233	603	89487	89825	26	grain_233_clip603.wav
234	604	89825	90174	27	grain_234_clip604.wav
235	606	90174	90633	35	grain_235_clip606.wav
236	607	90633	91068	33	grain_236_clip607.wav
237	608	91068	91531	36	grain_237_clip608.wav
238	610	91531	91988	35	grain_238_clip610.wav
239	612	91988	92421	33	grain_239_clip612.wav
240	613	92421	92859	34	grain_240_clip613.wav
241	614	92859	93294	33	grain_241_clip614.wav
242	615	93294	93921	48	grain_242_clip615.wav
243	616	93921	94454	41	grain_243_clip616.wav
244	617	94454	94978	40	grain_244_clip617.wav
245	618	94978	95530	42	grain_245_clip618.wav
246	621	95530	96047	40	grain_246_clip621.wav
247	626	96047	96571	40	grain_247_clip626.wav
248	629	96571	97004	33	grain_248_clip629.wav
249	632	97004	97453	35	grain_249_clip632.wav
